WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(입고일-WO일)
97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,84,110
97,2,85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,10,89,7,0,0,0,0,0,0,1,0,61,117
13,1,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,63,7,0,0,0,0,0,1,0,0,36,132
10,3,111,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,5,494,9,0,0,0,0,0,0,0,1,44,133
97,1,58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,6,104,6,0,0,0,0,0,0,1,0,84,142
97,1,56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,16,6,0,0,0,0,0,0,1,0,44,99
97,0,101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,72,6,0,0,0,0,0,0,1,0,41,99
97,2,78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,26,44,9,0,0,0,0,0,0,1,0,44,132
9,1,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,8,66,11,1,0,0,0,0,0,0,0,79,93
97,1,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,23,6,0,0,0,0,0,0,1,0,79,117
97,0,41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,17,6,0,0,0,0,0,0,1,0,79,159
13,0,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,29,9,0,0,0,0,0,1,0,0,49,121
97,1,126,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,50,6,0,0,0,0,0,0,1,0,42,174
101,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,9,30,8,0,0,0,0,0,0,1,0,57,109
12,2,236,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,7,146,6,0,0,0,0,0,0,0,1,46,112
12,3,230,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,4,3,0,0,0,0,0,0,0,1,46,147
101,2,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,6,177,8,0,0,0,0,0,0,1,0,46,116
101,5,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,34,8,0,0,0,0,0,0,1,0,46,142
101,0,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,31,8,0,0,0,0,0,0,1,0,46,142
16,1,24,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,3,54,4,0,0,0,0,0,0,0,1,47,110
16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,20,3,0,0,0,0,0,0,0,1,82,84
16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,13,24,3,0,0,0,0,0,0,0,1,59,94
16,0,28,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,13,68,4,0,0,0,0,0,0,0,1,94,84
106,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,5,21,6,0,0,0,0,0,0,1,0,28,123
106,1,77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,10,9,0,0,0,0,0,0,1,0,52,115
106,2,125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,14,9,0,0,0,0,0,0,1,0,52,157
106,2,125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,8,9,0,0,0,0,0,0,1,0,52,145
106,0,125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,32,7,0,0,0,0,0,0,1,0,52,98
121,1,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,5,675,29,0,0,0,0,0,0,1,0,51,135
121,1,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,5,675,29,0,0,0,0,0,0,1,0,51,135
121,2,72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,5,819,25,0,0,0,0,0,0,1,0,51,133
121,2,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,763,25,0,0,0,0,0,0,1,0,51,99
121,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,10,27,11,0,0,0,0,0,0,1,0,84,106
121,1,72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,10,30,11,0,0,0,0,0,0,1,0,38,106
121,1,72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,10,24,11,0,0,0,0,0,0,1,0,38,106
121,2,126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,18,343,8,0,0,0,0,0,0,1,0,44,144
